Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center,Academic Institute Type,Academic Areas
AARUPADAI VEEDU TECHNOLOGY INST,https://www.avit.ac.in,"Paiyanoor, Tamil Nadu, India",Aarupadai Veedu Institute of Technology (AVIT) is a higher education institution offering undergraduate and postgraduate programs in engineering and technology. It aims to provide quality education and research in various technological domains.,1998,Education,No,Yes,Yes,No,Private,"Engineering, Technology, Management"
ABES ENGINEERING COLLEGE,https://www.abes.ac.in,"Ghaziabad, Uttar Pradesh, India",ABES Engineering College is an engineering and technology institute offering undergraduate and postgraduate programs in various engineering disciplines. It is known for its commitment to providing quality education and research opportunities.,2000,Education,No,Yes,Yes,No,Private,"Engineering, Technology, Management"
ABHILASHI EDUCATION COLLEGE,http://www.abhilashieducationcollege.com,"Mandi, Himachal Pradesh, India",Abhilashi Education College offers undergraduate and postgraduate programs in education and other fields. It aims to promote quality education and research in various disciplines.,2007,Education,No,Yes,No,No,Private,"Education, Humanities"
ABTEILUNG INTEGRIERTE ONKOLOGIE CIO BONN,https://www.cio-bonn.de,"Bonn, Germany","The Department of Integrated Oncology in Bonn is dedicated to research and treatment in oncology, focusing on integrating various therapeutic approaches to cancer treatment.",Not Available,Medical Research,No,No,Yes,Yes,Not Applicable,"Oncology, Cancer Research"
ACADEMIC MEDICAL CENTER AMSTERDAM,https://www.amc.nl,"Amsterdam, Netherlands","The Academic Medical Center (AMC) in Amsterdam is a prominent medical center that focuses on healthcare, research, and education in various medical fields.",1983,Medical Care and Research,Yes,No,Yes,Yes,Public,"Medicine, Biomedical Research"
ACADEMIC SINICA,https://www.sinica.edu.tw,"Taipei, Taiwan","Academia Sinica is Taiwan's premier research institution, focusing on various fields including humanities, social sciences, and natural sciences.",1928,Research,Yes,No,Yes,No,Public,"Humanities, Social Sciences, Natural Sciences"
ACADEMIC HOSPITAL GRONINGEN,https://www.umcg.nl,"Groningen, Netherlands",The Academic Hospital Groningen is a leading medical center that provides healthcare services and conducts research in various medical fields.,Not Available,Medical Care and Research,Yes,No,Yes,Yes,Public,"Medicine, Healthcare Research"
LEIDEN UNIVERSITY MEDICAL CENTER,https://www.lumc.nl,"Leiden, Netherlands","The Leiden University Medical Center (LUMC) is a leading medical center specializing in healthcare, research, and education in various medical disciplines.",1998,Medical Care and Research,Yes,No,Yes,Yes,Public,"Medicine, Biomedical Research"
MAASTRICHT UNIVERSITY MEDICAL CENTER,https://www.mumc.nl,"Maastricht, Netherlands",The Maastricht University Medical Center is a prominent institution that provides comprehensive medical care and conducts research in various fields of medicine.,2004,Medical Care and Research,Yes,No,Yes,Yes,Public,"Medicine, Health Sciences"
ADIMAB LLC,https://www.adimab.com,"Lebanon, New Hampshire, USA",Adimab LLC specializes in antibody discovery and optimization. They offer comprehensive services for developing therapeutic antibodies and other related biopharmaceuticals.,2007,Biotechnology,No,Yes,Yes,No,Not Applicable,"Antibody Discovery, Biopharmaceuticals"
ADITYA COLLEGE OF ENGINEERING,http://www.adityacollege.com,"Surampalem, Andhra Pradesh, India",Aditya College of Engineering offers undergraduate and postgraduate programs in engineering and technology. It focuses on providing quality education and research opportunities in various engineering disciplines.,2001,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
AFFILIATED HOSPITAL ZUNYI MEDICAL COLLEGE,http://www.zymc.edu.cn,"Zunyi, Guizhou, China",The Affiliated Hospital of Zunyi Medical College provides medical care and research services in various healthcare fields. It is associated with Zunyi Medical College for medical education and research.,Not Available,Medical Care and Research,No,No,Yes,Yes,Not Applicable,"Medicine, Healthcare"
AGNI TECHNOLOGY COLLEGE,https://www.agnitc.ac.in,"Chennai, Tamil Nadu, India",Agni Technology College offers various engineering and technology programs with a focus on innovation and quality education in technical fields.,1999,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
AHMED ENGINEERING COLLEGE DHAANISH,http://www.ahmedengineeringcollege.com,"Chennai, Tamil Nadu, India","Ahmed Engineering College offers undergraduate and postgraduate courses in engineering, highly practical training and research in various engineering fields.",2007,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
ALBANY MEDICAL COLLEGE,https://www.amc.edu,"Albany, New York, USA",Albany Medical College is a renowned medical school providing education and research opportunities in various medical and health-related fields.,1839,Medical Education and Research,No,No,Yes,Yes,Private,"Medicine, Biomedical Research"
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,https://www.aiims.edu,"New Delhi, India","AIIMS is a premier medical institution in India providing medical education, research, and healthcare services. It is recognized for its advanced medical research and training.",1956,Medical Education and Research,Yes,No,Yes,Yes,Public,"Medicine, Biomedical Research"
ALL INDIA INSTITUTE OF MEDICAL SCIENCES JODHPUR,https://www.aiimsjodhpur.edu.in,"Jodhpur, Rajasthan, India","AIIMS Jodhpur is part of the AIIMS group, offering medical education, research, and healthcare services in various medical specialties.",2012,Medical Education and Research,Yes,No,Yes,Yes,Public,"Medicine, Healthcare Research"
